person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_grade_encoded,home_OTHER,home_OWN,home_RENT,intent_EDUCATION,intent_HOMEIMPROVEMENT,intent_MEDICAL,intent_PERSONAL,intent_VENTURE,cred_hist_to_age_ratio,income_per_emp_year
26,12000,2.0,6100,7.51,1,0.51,0,3,1,False,True,False,True,False,False,False,False,0.11538461538461539,4000.0
22,88000,6.0,28000,9.91,1,0.32,0,3,2,False,False,True,False,False,False,False,True,0.13636363636363635,12571.42857142857
21,12000,0.0,4200,13.48,1,0.35,1,4,3,False,True,False,False,False,False,True,False,0.19047619047619047,12000.0
22,12000,6.0,4750,7.14,1,0.4,0,2,1,False,True,False,False,False,False,False,False,0.09090909090909091,1714.2857142857142
24,83004,0.0,28000,15.99,1,0.34,1,4,4,False,False,True,False,False,False,False,True,0.16666666666666666,83004.0
24,250000,2.0,18000,12.98,0,0.07,1,3,3,False,False,True,True,False,False,False,False,0.125,83333.33333333333
25,100000,5.0,28000,12.69,0,0.28,0,3,2,False,False,True,False,False,False,False,False,0.12,16666.666666666668
26,110000,10.0,28000,8.9,0,0.25,0,2,1,False,False,True,True,False,False,False,False,0.07692307692307693,10000.0
26,12000,0.0,2700,7.49,1,0.23,0,4,1,False,True,False,False,False,False,False,False,0.15384615384615385,12000.0
22,108000,6.0,28000,10.99,1,0.26,0,4,2,False,False,True,True,False,False,False,False,0.18181818181818182,15428.57142857143
23,151200,7.0,28000,11.11,0,0.19,0,2,2,False,False,True,False,False,False,False,False,0.08695652173913043,18900.0
24,69000,2.0,27600,7.49,1,0.4,0,2,1,False,False,True,False,True,False,False,False,0.08333333333333333,23000.0
21,12000,5.0,3250,15.68,1,0.27,1,3,5,False,False,False,False,False,False,False,False,0.14285714285714285,2000.0
22,70000,4.0,27500,13.06,1,0.39,1,3,3,False,False,True,True,False,False,False,False,0.13636363636363635,14000.0
22,240000,6.0,25000,10.99,0,0.1,0,2,2,False,True,False,False,False,False,True,False,0.09090909090909091,34285.71428571428
26,73200,5.0,27050,15.62,1,0.37,1,2,4,False,False,True,False,False,False,False,True,0.07692307692307693,12200.0
24,83000,5.0,27000,13.49,1,0.33,1,2,3,False,False,True,False,False,False,True,False,0.08333333333333333,13833.333333333334
24,73399,0.0,27000,15.31,1,0.37,0,3,4,False,False,True,False,False,False,False,True,0.125,73399.0
23,62500,7.0,26000,11.71,1,0.42,0,2,2,False,False,True,False,False,True,False,False,0.08695652173913043,7812.5
23,120000,1.0,25600,12.69,0,0.21,0,3,2,False,False,True,True,False,False,False,False,0.13043478260869565,60000.0
24,12360,2.0,1600,13.57,0,0.13,0,3,3,False,True,False,False,False,True,False,False,0.125,4120.0
22,60000,0.0,25475,10.99,1,0.42,0,3,2,False,False,True,False,False,False,False,True,0.13636363636363635,60000.0
25,234000,3.0,20000,14.27,0,0.09,1,4,3,False,False,False,False,False,True,False,False,0.16,58500.0
24,234000,8.0,20000,8.88,0,0.09,0,4,2,False,True,False,False,True,False,False,False,0.16666666666666666,26000.0
26,234000,10.0,21600,12.18,0,0.09,0,3,2,False,False,False,False,True,False,False,False,0.11538461538461539,21272.727272727272
25,221004,6.0,11900,14.42,1,0.05,1,3,4,False,False,False,False,False,False,False,False,0.12,31572.0
26,232500,0.0,25000,14.17,0,0.11,1,2,3,False,False,False,False,False,True,False,False,0.07692307692307693,232500.0
25,230000,5.0,35000,13.99,0,0.15,0,4,3,False,False,False,False,False,True,False,False,0.16,38333.333333333336
23,83000,7.0,25300,10.99,1,0.3,0,3,2,False,False,True,True,False,False,False,False,0.13043478260869565,10375.0
25,12600,3.0,1750,13.61,0,0.14,0,3,3,False,True,False,False,False,False,True,False,0.12,3150.0
21,42500,3.0,25000,12.73,1,0.59,1,3,3,False,False,True,True,False,False,False,False,0.14285714285714285,10625.0
24,41000,2.0,25000,15.31,1,0.61,0,3,4,False,False,True,False,True,False,False,False,0.125,13666.666666666666
25,12816,0.0,3000,12.87,1,0.23,1,4,3,False,True,False,False,False,False,False,False,0.16,12816.0
24,12960,1.0,3650,9.91,1,0.28,0,3,2,False,False,False,False,True,False,False,False,0.125,6480.0
26,226000,4.0,20000,11.49,0,0.09,0,4,2,False,False,False,False,True,False,False,False,0.15384615384615385,45200.0
25,225000,0.0,30000,19.91,0,0.13,1,2,5,False,False,False,False,True,False,False,False,0.08,225000.0
26,213000,6.0,35000,10.65,1,0.16,0,2,2,False,False,False,True,False,False,False,False,0.07692307692307693,30428.571428571428
24,225000,0.0,6000,10.99,0,0.03,0,4,2,False,False,True,False,False,True,False,False,0.16666666666666666,225000.0
24,12960,0.0,4500,11.83,1,0.35,0,4,2,False,False,False,False,False,False,False,False,0.16666666666666666,12960.0
23,12996,0.0,2400,13.49,1,0.18,1,2,3,False,True,False,False,False,False,False,False,0.08695652173913043,12996.0
22,42000,6.0,25000,14.59,1,0.6,1,2,4,False,False,True,False,False,True,False,False,0.09090909090909091,6000.0
26,48000,2.0,25000,9.64,1,0.52,0,4,2,False,False,True,True,False,False,False,False,0.15384615384615385,16000.0
25,12996,1.0,3600,14.59,1,0.28,0,3,4,False,True,False,False,False,True,False,False,0.12,6498.0
22,12996,1.0,4750,10.99,1,0.37,0,3,2,False,True,False,True,False,False,False,False,0.13636363636363635,6498.0
25,42360,1.0,25000,16.35,1,0.59,1,3,5,False,False,True,True,False,False,False,False,0.12,21180.0
21,49000,4.0,25000,10.99,1,0.51,0,2,2,False,False,True,True,False,False,False,False,0.09523809523809523,9800.0
25,225000,0.0,25000,18.67,0,0.11,0,2,6,False,False,False,False,False,False,False,True,0.08,225000.0
26,225000,1.0,3000,9.32,0,0.01,0,4,1,False,False,True,True,False,False,False,False,0.15384615384615385,112500.0
26,225000,2.0,25000,10.08,0,0.11,0,2,2,False,False,False,False,False,False,False,True,0.07692307692307693,75000.0
22,49464,5.0,25000,11.83,1,0.51,0,3,2,False,False,True,False,False,False,True,False,0.13636363636363635,8244.0
23,50000,1.0,25000,7.9,1,0.5,0,3,1,False,False,True,False,False,False,False,False,0.13043478260869565,25000.0
25,50000,4.0,25000,5.99,1,0.5,0,2,1,False,False,True,False,True,False,False,False,0.08,10000.0
24,44000,2.0,25000,15.33,1,0.57,0,2,4,False,False,True,False,False,False,False,False,0.08333333333333333,14666.666666666666
23,50000,1.0,25000,11.83,1,0.5,0,4,2,False,False,True,False,False,False,False,True,0.17391304347826086,25000.0
22,50004,0.0,25000,10.36,1,0.5,0,2,2,False,False,True,False,False,False,False,True,0.09090909090909091,50004.0
22,50004,3.0,25000,12.23,1,0.5,0,3,3,False,False,True,False,False,False,False,True,0.13636363636363635,12501.0
22,52000,2.0,25000,11.11,1,0.48,0,4,2,False,False,True,True,False,False,False,False,0.18181818181818182,17333.333333333332
23,13200,3.0,4950,7.9,1,0.38,0,4,1,False,True,False,False,False,False,False,False,0.17391304347826086,3300.0
24,220000,1.0,25000,11.58,0,0.11,0,2,2,False,False,False,True,False,False,False,False,0.08333333333333333,110000.0
23,216000,5.0,21000,8.9,0,0.1,0,3,1,False,False,False,False,False,False,False,False,0.13043478260869565,36000.0
25,216000,2.0,25000,16.07,0,0.12,0,3,4,False,False,False,True,False,False,False,False,0.12,72000.0
26,216000,10.0,20000,14.22,0,0.09,1,2,3,False,False,False,True,False,False,False,False,0.07692307692307693,19636.363636363636
23,215000,7.0,35000,14.79,0,0.16,1,3,3,False,False,False,False,False,True,False,False,0.13043478260869565,26875.0
23,52000,1.0,25000,13.22,1,0.48,0,2,3,False,False,True,False,False,False,True,False,0.08695652173913043,26000.0
26,46000,2.0,25000,11.86,1,0.54,0,4,4,False,False,True,False,False,False,False,False,0.15384615384615385,15333.333333333334
22,53000,5.0,25000,13.43,1,0.47,1,4,3,False,False,True,True,False,False,False,False,0.18181818181818182,8833.333333333334
26,47000,0.0,25000,15.28,1,0.53,1,2,4,False,False,True,False,True,False,False,False,0.07692307692307693,47000.0
23,47000,1.0,25000,17.93,1,0.53,0,2,5,False,False,True,False,False,False,False,True,0.08695652173913043,23500.0
23,13200,2.0,1400,9.25,0,0.11,0,4,2,False,False,False,True,False,False,False,False,0.17391304347826086,4400.0
21,13200,0.0,4500,12.98,1,0.34,0,4,3,False,True,False,False,False,False,False,True,0.19047619047619047,13200.0
22,210000,6.0,16000,10.62,0,0.08,0,4,2,False,False,False,False,False,False,False,True,0.18181818181818182,30000.0
26,210000,10.0,22000,11.83,0,0.1,0,4,2,False,True,False,False,False,False,True,False,0.15384615384615385,19090.909090909092
26,48000,5.0,25000,18.43,1,0.52,0,2,6,False,False,True,False,False,False,False,True,0.07692307692307693,8000.0
22,54996,6.0,25000,10.99,1,0.45,0,4,2,False,False,True,True,False,False,False,False,0.18181818181818182,7856.571428571428
24,55000,4.0,25000,15.31,1,0.45,1,4,4,False,False,True,False,True,False,False,False,0.16666666666666666,11000.0
23,55000,4.0,25000,11.36,1,0.45,0,3,2,False,False,True,True,False,False,False,False,0.13043478260869565,11000.0
23,55000,4.0,25000,15.65,1,0.45,1,3,4,False,False,True,True,False,False,False,False,0.13043478260869565,11000.0
24,55164,8.0,25000,13.22,1,0.45,1,4,3,False,False,True,False,False,False,True,False,0.16666666666666666,6129.333333333333
26,56000,4.0,25000,12.87,1,0.45,0,2,3,False,False,True,False,False,False,False,False,0.07692307692307693,11200.0
24,203500,8.0,20000,13.04,0,0.1,0,3,3,False,True,False,False,False,True,False,False,0.125,22611.11111111111
23,190000,5.0,22000,17.58,1,0.12,1,3,6,False,False,False,True,False,False,False,False,0.13043478260869565,31666.666666666668
23,13920,2.0,7750,17.04,1,0.56,0,4,5,False,True,False,False,False,False,True,False,0.17391304347826086,4640.0
24,60000,0.0,25000,10.99,1,0.42,0,3,2,False,False,True,False,False,False,True,False,0.125,60000.0
24,60000,2.0,25000,11.11,1,0.42,0,3,2,False,False,True,False,False,False,True,False,0.125,20000.0
26,54000,7.0,25000,14.83,1,0.46,1,2,4,False,False,True,False,False,False,False,False,0.07692307692307693,6750.0
23,14000,2.0,4000,15.31,1,0.29,0,3,4,False,True,False,False,False,False,False,False,0.13043478260869565,4666.666666666667
24,200000,8.0,12000,12.69,0,0.06,0,2,2,False,False,True,False,False,True,False,False,0.08333333333333333,22222.222222222223
24,200000,8.0,12000,13.49,0,0.06,0,2,3,False,False,False,False,True,False,False,False,0.08333333333333333,22222.222222222223
21,200000,5.0,16000,14.65,0,0.08,0,4,3,False,False,False,True,False,False,False,False,0.19047619047619047,33333.333333333336
25,54000,3.0,25000,16.82,1,0.46,0,4,5,False,False,True,False,True,False,False,False,0.16,13500.0
23,60000,3.0,25000,12.73,1,0.42,0,3,3,False,False,True,False,False,False,True,False,0.13043478260869565,15000.0
23,60000,7.0,25000,10.25,1,0.42,0,4,2,False,False,True,False,False,False,True,False,0.17391304347826086,7500.0
25,61959,9.0,25000,12.73,1,0.4,0,2,3,False,False,True,False,False,True,False,False,0.08,6195.9
22,56400,2.0,25000,14.96,1,0.44,1,3,4,False,False,True,False,True,False,False,False,0.13636363636363635,18800.0
23,200000,7.0,28000,7.49,0,0.14,0,2,1,False,False,False,True,False,False,False,False,0.08695652173913043,25000.0
21,200000,2.0,25000,13.99,0,0.13,0,2,3,False,False,False,False,False,False,False,False,0.09523809523809523,66666.66666666667
24,200000,3.0,24000,7.49,0,0.12,0,4,1,False,False,False,False,False,False,False,True,0.16666666666666666,50000.0
26,200000,4.0,15000,14.79,0,0.07,0,3,3,False,False,False,True,False,False,False,False,0.11538461538461539,40000.0
25,200000,2.0,15500,11.99,0,0.08,0,2,2,False,False,False,False,False,False,False,False,0.08,66666.66666666667
24,200000,8.0,10000,8.49,0,0.05,0,4,1,False,False,True,True,False,False,False,False,0.16666666666666666,22222.222222222223
24,66000,3.0,25000,9.91,1,0.38,0,2,2,False,False,True,True,False,False,False,False,0.08333333333333333,16500.0
22,66000,6.0,25000,13.06,1,0.38,1,3,3,False,False,True,True,False,False,False,False,0.13636363636363635,9428.57142857143
22,200000,6.0,9000,6.17,0,0.04,0,4,1,False,False,False,False,False,False,False,False,0.18181818181818182,28571.428571428572
25,200000,5.0,18000,16.32,0,0.09,0,3,4,False,False,True,True,False,False,False,False,0.12,33333.333333333336
25,200000,2.0,12000,10.38,0,0.06,0,2,2,False,False,False,False,False,False,False,True,0.08,66666.66666666667
25,200000,9.0,23050,14.35,0,0.12,0,3,3,False,False,False,False,False,False,True,False,0.12,20000.0
24,200000,8.0,20000,10.99,0,0.1,0,3,2,False,False,False,False,False,False,False,False,0.125,22222.222222222223
24,60000,2.0,25000,16.77,1,0.42,1,2,5,False,False,True,False,False,False,False,False,0.08333333333333333,20000.0
21,14400,0.0,3000,10.99,1,0.21,0,4,2,False,True,False,False,True,False,False,False,0.19047619047619047,14400.0
26,66996,10.0,25000,15.21,1,0.37,1,2,4,False,False,True,False,False,False,True,False,0.07692307692307693,6090.545454545455
23,67000,3.0,25000,7.9,1,0.37,0,4,1,False,False,True,True,False,False,False,False,0.17391304347826086,16750.0
24,67000,2.0,25000,10.99,1,0.37,0,3,2,False,False,True,False,False,False,False,True,0.125,22333.333333333332
24,68000,5.0,25000,14.09,1,0.37,1,3,4,False,False,True,False,False,False,True,False,0.125,11333.333333333334
25,69000,9.0,25000,17.49,1,0.36,0,2,4,False,False,True,False,False,False,True,False,0.08,6900.0
25,200000,0.0,12000,11.48,0,0.06,0,3,2,False,False,False,True,False,False,False,False,0.12,200000.0
26,188000,10.0,20000,17.74,1,0.11,0,2,5,False,False,False,False,False,False,False,True,0.07692307692307693,17090.909090909092
26,200000,4.0,3000,13.92,0,0.01,0,3,3,False,False,False,False,False,False,True,False,0.11538461538461539,40000.0
25,69996,9.0,25000,15.21,1,0.36,0,3,4,False,False,True,True,False,False,False,False,0.12,6999.6
22,14400,2.0,4000,10.99,1,0.28,0,3,2,False,True,False,False,False,True,False,False,0.13636363636363635,4800.0
24,70000,3.0,25000,11.86,1,0.36,0,4,2,False,False,True,True,False,False,False,False,0.16666666666666666,17500.0
24,14400,5.0,6000,7.49,1,0.42,0,3,1,False,True,False,False,False,False,True,False,0.125,2400.0
24,56100,7.0,25000,16.49,1,0.38,0,4,4,False,False,True,False,False,True,False,False,0.16666666666666666,7012.5
25,66000,9.0,25000,15.33,1,0.38,1,2,4,False,False,True,False,False,False,False,True,0.08,6600.0
26,66000,3.0,25000,11.58,1,0.38,0,4,2,False,False,True,False,True,False,False,False,0.15384615384615385,16500.0
25,14400,7.0,5375,5.79,1,0.37,0,2,1,False,True,False,True,False,False,False,False,0.08,1800.0
25,72612,9.0,25000,13.11,1,0.34,0,2,3,False,False,True,False,False,True,False,False,0.08,7261.2
23,74000,3.0,25000,10.36,1,0.34,0,3,2,False,False,True,False,False,True,False,False,0.13043478260869565,18500.0
25,75000,9.0,25000,10.36,1,0.33,0,2,2,False,False,True,False,False,False,False,False,0.08,7500.0
24,192000,0.0,22000,13.48,0,0.11,1,2,3,False,False,True,False,False,True,False,False,0.08333333333333333,192000.0
25,191000,1.0,10000,12.53,0,0.05,0,4,2,False,False,False,False,False,True,False,False,0.16,95500.0
26,190300,5.0,15000,7.49,0,0.08,0,3,1,False,False,False,False,False,False,True,False,0.11538461538461539,31716.666666666668
22,190000,3.0,10000,13.48,0,0.05,0,3,3,False,False,False,False,False,False,False,True,0.13636363636363635,47500.0
24,75000,4.0,25000,10.25,1,0.33,0,4,2,False,False,True,True,False,False,False,False,0.16666666666666666,15000.0
22,71000,1.0,25000,15.95,1,0.35,1,4,4,False,False,True,True,False,False,False,False,0.18181818181818182,35500.0
26,190000,3.0,20000,12.18,0,0.11,0,4,2,False,False,False,False,False,False,False,True,0.15384615384615385,47500.0
23,189996,0.0,24000,11.83,0,0.13,0,3,2,False,True,False,False,False,False,True,False,0.13043478260869565,189996.0
23,78000,7.0,25000,13.48,1,0.32,1,2,3,False,False,True,False,False,False,False,False,0.08695652173913043,9750.0
23,78000,1.0,25000,10.62,1,0.32,0,3,2,False,False,True,False,False,False,False,True,0.13043478260869565,39000.0
23,78504,7.0,25000,10.74,1,0.32,0,3,2,False,False,True,False,False,False,False,True,0.13043478260869565,9813.0
25,186000,9.0,10000,10.25,0,0.05,0,4,2,False,True,False,False,False,False,False,True,0.16,18600.0
25,185000,6.0,15000,15.27,0,0.08,0,2,3,False,False,True,False,False,False,False,True,0.08,26428.571428571428
24,62050,8.0,25000,15.33,1,0.34,1,2,4,False,False,True,False,False,True,False,False,0.08333333333333333,6894.444444444444
23,79416,7.0,25000,15.21,1,0.31,1,2,4,False,False,True,False,False,False,False,True,0.08695652173913043,9927.0
21,14400,4.0,6250,14.72,1,0.43,0,2,3,False,True,False,False,False,False,False,True,0.09523809523809523,2880.0
24,79631,8.0,25000,15.7,1,0.31,1,2,4,False,False,True,False,False,False,True,False,0.08333333333333333,8847.888888888889
24,79632,0.0,25000,13.35,1,0.31,0,4,3,False,False,True,True,False,False,False,False,0.16666666666666666,79632.0
21,14400,0.0,1500,13.48,0,0.1,0,4,3,False,False,False,False,False,True,False,False,0.19047619047619047,14400.0
24,80000,6.0,25000,6.62,1,0.31,0,2,1,False,False,True,True,False,False,False,False,0.08333333333333333,11428.57142857143
26,80000,5.0,25000,13.61,1,0.31,0,4,3,False,False,True,False,False,False,False,False,0.15384615384615385,13333.333333333334
22,185000,4.0,25000,11.36,0,0.14,0,2,2,False,False,True,False,False,True,False,False,0.09090909090909091,37000.0
26,185000,10.0,5000,7.68,0,0.03,0,2,1,False,True,False,False,False,False,True,False,0.07692307692307693,16818.18181818182
24,184992,7.0,22000,14.46,0,0.12,1,4,4,False,False,True,False,True,False,False,False,0.16666666666666666,23124.0
23,184000,5.0,2500,11.83,0,0.01,0,2,2,False,True,False,True,False,False,False,False,0.08695652173913043,30666.666666666668
24,172000,6.0,20000,13.47,1,0.12,1,4,3,False,False,False,False,False,False,False,False,0.16666666666666666,24571.428571428572
24,183000,2.0,20000,11.49,0,0.11,0,3,2,False,False,False,False,False,True,False,False,0.125,61000.0
22,183000,3.0,1000,7.49,0,0.01,0,2,1,False,False,False,True,False,False,False,False,0.09090909090909091,45750.0
25,182952,9.0,15000,6.03,0,0.08,0,3,1,False,False,False,False,False,False,True,False,0.12,18295.2
23,74004,7.0,25000,16.35,1,0.34,0,4,5,False,False,True,False,False,False,False,False,0.17391304347826086,9250.5
26,74004,10.0,25000,15.31,1,0.34,1,4,4,False,False,True,False,False,False,False,False,0.15384615384615385,6727.636363636364
25,81000,5.0,25000,7.29,1,0.31,0,3,1,False,False,True,False,False,False,False,False,0.12,13500.0
23,81600,1.0,25000,11.36,1,0.31,0,3,2,False,False,True,False,False,True,False,False,0.13043478260869565,40800.0
24,82000,8.0,25000,10.25,0,0.3,0,2,2,False,False,True,False,False,False,False,True,0.08333333333333333,9111.111111111111
24,83000,5.0,25000,11.12,0,0.3,0,3,2,False,False,True,True,False,False,False,False,0.125,13833.333333333334
24,83000,5.0,25000,12.92,0,0.3,1,3,4,False,False,True,False,False,False,True,False,0.125,13833.333333333334
24,180000,8.0,18000,18.64,0,0.1,1,4,5,False,False,True,True,False,False,False,False,0.16666666666666666,20000.0
23,14400,2.0,4000,16.7,1,0.28,0,2,5,False,True,False,False,True,False,False,False,0.08695652173913043,4800.0
22,14400,0.0,2100,11.14,0,0.15,0,4,2,False,True,False,False,False,False,True,False,0.18181818181818182,14400.0
